No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
159,STT,-0.96%,-3.68%,-4.69%,-12.93%,-26.73%,-26.82%,2.89%,2.10%,2.40,2.25M,0.62,68.72,0.97%,"612,006"
160,CMS,-2.98%,-0.35%,-5.38%,0.58%,3.71%,3.57%,2.05%,1.50%,2.70,1.82M,0.49,68.98,2.39%,"390,834"
162,EVRG,-3.06%,0.28%,-3.38%,5.87%,-0.70%,-0.86%,2.28%,1.59%,2.40,1.05M,0.36,69.46,2.11%,"166,688"
163,INCY,-1.99%,-4.23%,-6.47%,-2.14%,-9.17%,-5.84%,2.42%,2.12%,2.20,1.40M,0.50,70.30,1.72%,"304,488"
164,DHI,-3.02%,-8.33%,-7.42%,-12.61%,-26.30%,-35.46%,2.94%,2.92%,2.00,3.25M,0.44,70.41,0.60%,"623,239"
165,CAH,-0.26%,13.01%,29.34%,32.58%,29.59%,35.00%,2.30%,2.77%,2.80,2.55M,0.53,70.50,1.42%,"588,906"
166,NTAP,-3.74%,-2.31%,-0.24%,-10.07%,-22.61%,-23.14%,2.30%,2.22%,2.40,1.45M,0.44,70.64,-0.08%,"280,838"
167,SCHW,-2.04%,1.67%,3.54%,-7.71%,-2.25%,-16.21%,3.05%,2.51%,2.00,7.71M,0.65,71.22,1.06%,"2,192,705"
168,HSIC,-4.22%,-5.84%,-15.66%,-18.28%,-9.44%,-8.45%,1.67%,1.72%,2.90,809.76K,0.63,71.83,1.20%,"224,669"
169,BF-B,-5.72%,-5.97%,6.97%,4.83%,1.52%,-2.51%,2.77%,1.88%,3.20,1.03M,0.41,71.86,1.18%,"186,880"
170,BBY,-3.15%,-6.55%,-9.95%,-31.83%,-37.40%,-29.74%,4.64%,3.55%,2.80,3.14M,0.43,71.95,0.80%,"596,117"
171,OTIS,-2.69%,-9.13%,-4.15%,-2.99%,-21.50%,-17.22%,2.40%,1.68%,2.40,2.14M,0.59,72.44,0.50%,"553,854"
172,GE,-5.12%,-2.96%,-6.29%,-15.48%,-31.11%,-23.62%,2.98%,2.47%,2.10,6.47M,0.38,72.50,0.47%,"1,067,168"
173,K,-2.61%,-3.69%,5.58%,9.60%,13.92%,12.19%,1.99%,1.48%,3.10,2.51M,0.55,72.74,0.65%,"607,574"
174,TSN,-5.92%,-16.46%,-16.48%,-21.07%,-6.61%,-16.18%,2.16%,1.91%,2.50,1.85M,0.82,73.39,0.45%,"665,931"
175,APH,-2.59%,-6.09%,2.20%,0.00%,-5.48%,-16.74%,2.12%,1.65%,2.10,1.88M,0.41,73.74,1.26%,"334,026"
176,ORCL,-0.49%,-4.55%,1.18%,-0.66%,-17.97%,-15.34%,2.19%,1.59%,2.70,7.37M,0.52,73.99,0.21%,"1,663,454"
177,PFG,-1.69%,9.10%,3.76%,15.63%,12.77%,2.90%,2.04%,2.17%,3.10,1.52M,0.99,74.64,0.28%,"656,910"
178,GIS,-2.49%,-1.14%,9.50%,11.28%,30.34%,11.75%,1.94%,1.53%,3.10,3.68M,0.94,75.35,0.06%,"1,515,668"
179,EQR,0.27%,-0.40%,1.45%,-14.64%,-12.47%,-17.22%,2.18%,1.96%,2.60,1.51M,0.38,75.61,0.92%,"249,578"
